Deputado,Partido,Estado,Voto,Gênero,Fala,
Felipe Bornier,PROS,RJ,Sim,M,"Pelo futuro do meu filho e do meu País, pelo meu Estado do Rio de Janeiro; que tenho muito orgulho de representar aqui na Câmara dos Deputados; pelos meus eleitores do noroeste fluminense; pela minha querida Baixada Fluminense; pela minha maravilhosa cidade de Nova Iguaçu, que eu muito amo e tenho orgulho de representar nesta Casa, e pelos 10 milhões de brasileiros hoje desempregados, eu voto pelo impedimento da Presidente da República. Eu voto sim!",
Fernando Jordão,PMDB,RJ,Sim,M,"Sr. Presidente, pelo Brasil, por todas as cidades do Rio de Janeiro, pelo eleitor que me colocou aqui, pelo trabalhador desempregado, pela minha família, eu digo: O verde de teu mar, oh, Angra dos Reis! A luz de teu luar, oh, Angra dos Reis! O brilho do teu sol, oh, Angra dos Reis! Sim pelo impeachment da Dilma!",
Francisco Floriano,DEM,RJ,Sim,M,"Muito obrigado, Sr. Presidente, Eduardo Cunha. Parabéns ao meu Relator, parabéns à Mesa que está presente, a todo povo brasileiro, parabéns a todo povo que está na Av. Atlântica, na cidade mais linda do mundo, Rio de Janeiro. Um abraço, Av. Atlântica! Eu quero dizer a todos que chega o momento de se valer da Constituição, de se valer do Regimento da Casa. De dar uma demonstração nesta tarde e ouvir a sintonia das vozes das ruas. Então, pelo meu Estado Democrático, pelo meu filho Matheus Floriano, minha filha Nathália e meu neto Lucca, que é criança, e também, Sr. Presidente, desde o meu Estado, de Varre-Sai a Paraty, o meu País, do Oiapoque ao Chuí, sim.",
Glauber Braga,PSOL,RJ,Não,M,"Eduardo Cunha, você é um gângster. O que dá sustentação à sua cadeira cheira enxofre. Eu voto por aqueles que nunca escolheram o lado fácil da história. Eu voto por Marighella, eu voto por Plínio de Arruda Sampaio, eu voto por Evandro Lins e Silva, eu voto por Arraes, eu voto por Luís Carlos Prestes. Eu voto por Olga Benário. Eu voto por Brizola e Darcy Ribeiro. Eu voto por Zumbi dos Palmares. Eu voto não!",
Hugo Leal,PSB,RJ,Sim,M,"Sr. Presidente, eu gostaria de lembrar a todos os brasileiros e brasileiras que nós temos ainda um País de responsabilidades que espera por nós. Nós não podemos esquecer o Brasil. Eu, nesta sessão especial, quero fazer também uma homenagem póstuma ao saudoso Eduardo Campos, do partido ao qual estou filiado. Nós não vamos desistir do Brasil! Eu voto sim, Sr. Presidente.",
Indio da Costa,PSD,RJ,Sim,M,"Sr. Presidente, eu disputei a eleição de 2010 como Vice de José Serra, contra Dilma Rousseff e contra o PT. Na época denunciei a corrupção. Hoje, falta saúde, educação, segurança pública, e falta emprego. Fui Relator da Lei da Ficha Limpa e trabalhei muito para aprová-la nesta Casa. Não poderia votar diferente. Votarei em favor dos cariocas e dos brasileiros. Votarei sim pelo impeachment da Presidente Dilma!",
Jair Bolsonaro,PSC,RJ,Sim,M,"Neste dia de glória para o povo brasileiro, um nome entrará para a história nesta data pela forma como conduziu os trabalhos desta Casa: Parabéns, Presidente Eduardo Cunha! Perderam em 1964. Perderam agora em 2016. Pela família e pela inocência das crianças em sala de aula, que o PT nunca teve... Contra o comunismo, pela nossa liberdade, contra a Folha de S.Paulo, pela memória do Cel. Carlos Alberto Brilhante Ustra, o pavor de Dilma Rousseff! Pelo Exército de Caxias, pelas nossas Forças Armadas, por um Brasil acima de tudo, e por Deus acima de todos, o meu voto é sim!",
Jandira Feghali,PCdoB,RJ,Não,F,"Primeiro quero registrar a minha indignação, Deputado Eduardo Cunha, por ainda vê-lo sentado nessa cadeira sem reunir condições morais para isso. Segundo, registro a minha indignação de vê-lo abraçado com um traidor da democracia, que tenta usurpar a cadeira da Presidente, que é o Sr. Michel Temer, que não tem voto para tal. Terceiro, quero expressar aqui que ficou muito claro para a sociedade brasileira qual é a aliança pelo impeachmentque reúne corruptos, torturadores, como Jair Bolsonaro, e traidores da Pátria. Em respeito aos trabalhadores que usam o vermelho da luta e a bandeira do Brasil, trabalhadores do campo e da cidade que estão nas ruas com muito sacrifício, com convicção vou dizer: a luta apenas começou! Em respeito à democracia, à Constituição, não há crime. A Presidente Dilma é honesta. Não há crime! Portanto, é golpe! E eu voto não. Contra o golpe!",
Jean Wyllys,PSOL,RJ,Não,M,"Em primeiro lugar, eu quero dizer que eu estou constrangido de participar dessa farsa sexista, dessa eleição indireta, conduzida por um ladrão, urdida por um traidor, conspirador, apoiada por torturados, covardes, analfabetos políticos e vendidos. Em nome dos direitos da população LGBT, do povo negro exterminado nas periferias, dos trabalhadores da cultura, dos sem-teto, dos sem-terra, eu voto não ao golpe. E durmam com essa, canalhas!",
Julio Lopes,PP,RJ,Sim,M,"Sras. e Srs. Deputados, queria primeiro dar um afetuoso abraço em cada cidadão e em cada cidadã do Estado do Rio de Janeiro pelo difícil momento que atravessa a economia do nosso Estado. Sr. Presidente, Deputado Eduardo Cunha, Sras. e Srs. Deputados, quero aqui me dirigir ao Deputado José Guimarães que me perguntou se eu tinha raiva da Presidente Dilma Rousseff. Eu quero dizer que respeito muito os meus contrários, Deputado Glauber Braga, mas, quanto à Presidente Dilma, eu tenho pena por ela não ter entendido que vale muito mais a pena insistir no empreendedorismo do Brasil, insistir que cada cidadão e que cada cidadã construa sua própria vida do que fazer esse assistencialismo e esse populismo que assaltou o Brasil. Por isso, Sr. Presidente, pelo povo do meu Estado, pelo povo do Rio de janeiro e pelo Brasil, eu voto sim ao impeachment!",
Leonardo Picciani,PMDB,RJ,Não,M,"Sr. Presidente, eu quero fazer dois registros. O Deputado Aníbal Gomes foi submetido a uma grave cirurgia e se encontra na UTI. Por essa razão, não esteve presente a esta sessão. Também quero registrar o nome de cinco Deputados do PMDB do Rio de Janeiro que, em razão do retorno dos titulares esta semana — e só por esta razão —, não estão votando. São eles: Deputado Marquinho Mendes, Deputado Celso Jacob, Deputada Laura Carneiro, Deputado Zé Augusto Nalin e Deputado Wilson Beserra. Sr. Presidente, nos quatro mandatos que tomei posse nesta Casa, jurei cumprir a Constituição. Eu voto não.",
Luiz Carlos Ramos,PTN,RJ,Sim,M,"Pelos moradores de rua, que dormem na rua, que nascem na rua e morrem na rua, sem programa social de governo; pela Zona Oeste; Rio da Prata; Bangu, onde morei 33 anos; Campo Grande, em que moro há 31 anos; pelos vendedores, que, quando não têm uma profissão detalhada, é uma opção de mercado, voto sim.",
Luiz Sérgio,PT,RJ,Não,M,"Sr. Presidente, primeiro, quero deixar registrado que nunca em minha vida, em um espaço tão curto, eu ouvi tantas vezes o nome de Deus ser usado em vão, como se fosse um panfleto. Em segundo lugar, em respeito ao voto popular, em respeito à democracia, eu voto não, Sr. Presidente. Golpe não!",
Marcelo Matos,PHS,RJ,Sim,M,"Sr. Presidente, em nome da minha família, do meu Estado, do meu Município, São João de Meriti, daquele povo, que acredita no Governo Federal, que acredita no nosso mandato; em nome da Baixada Fluminense, eu quero dizer que voto sim.",
Marco Antônio Cabral,PMDB,RJ,Sim,M,"Sr. Presidente, pelo Brasil, pelo meu Estado do Rio de Janeiro, pela democracia, voto sim.",
Marcos Soares,DEM,RJ,Sim,M,"Sr. Presidente, pelo Rio de Janeiro, contra este Governo, que sempre tentou destruir a família. Agora, temos a oportunidade de votar pelo sim. do Brasil. Sim. pelo impeachment.",
Miro Teixeira,Rede,RJ,Sim,M,"Sr. Presidente, meu voto é sim, porém peço licença aos companheiros para apresentar uma divergência em relação a fundamentações. Nós não queremos confrontos de nenhuma espécie, mas não vamos nos intimidar com as ameaças que ouvimos ao longo das semanas. Saberemos enfrentá-las. Não as desejamos, mas saberemos enfrentá-las e vencê-las. Hoje, aqui, vou decidir sobre um processo. A pauta cuida de um processo, o processo de admissibilidade do impeachment de Dilma Rousseff. Não adianta tergiversar, e, repito, pedindo licença para divergir, reconhecendo o direito de todos falarem o que bem quiser. Hoje o processo aqui é Dilma Rousseff. Aqui temos que julgar o mensalão, inclusive, e começar a voltar no tempo para ver como isso começou. Quanto maior forem as provocações, mais voltaremos no tempo. Vamos ver o petrolão, porque esse processo contra Dilma Rousseff permitirá fortalecer a Lava-Jato e aprofundar as investigações do petrolão. Ninguém aqui tem medo de ninguém.",
Otavio Leite,PSDB,RJ,Sim,M,"Em primeiro lugar, eu queria deixar claro que, assim como o grande brasileiro Juscelino Kubitschek de Oliveira, eu creio na vitória final inexorável do Brasil como nação. Em nome daqueles que estão nas ruas no Rio de Janeiro, em nome do povo do Rio de Janeiro, em defesa do futuro e da esperança das novas gerações, eu voto sim ao impedimento de Dilma Lana Rousseff.",
Paulo Feijó,PR,RJ,Sim,M,"Sr. Presidente, em respeito ao norte e noroeste do Estado do Rio, em respeito àminha querida Campos dos Goytacazes, que está em festa, São Francisco do Itabapoana, Bom Jesus do Itabapoana, Santa Maria Madalena, à minha família, aos ferroviários do Brasil, eu voto sim.",
Pedro Paulo,PMDB,RJ,Sim,M,"Senhoras e senhores de todo o Brasil, com a esperança de ver o País sair da crise, é preciso mudar. Pelo meu Rio de Janeiro, pelo Brasil, eu voto sim.",
Roberto Sales,PRB,RJ,Sim,M,"Sr. Presidente, pela unidade do PRB, pela família e para nenhum governo se levantar contra a Nação de Israel, por São Gonçalo, pelo leste fluminense, pelo Rio de Janeiro, voto sim.",
Rodrigo Maia,DEM,RJ,Sim,M,"Sr. Presidente, V.Exa. entra para a história hoje. Pela minha família, mas principalmente pelo meu pai, Cesar Maia, que quando Prefeito do Rio, foi atropelado pelo Governo do PT — o PT rasga a Constituição no Rio de Janeiro e rasga a Constituição aqui —, o meu voto é sim.",
Rosangela Gomes,PRB,RJ,Sim,F,"Sr. Presidente, pela retomada da economia brasileira, por todos os funcionários públicos e aposentados do Estado do Rio de Janeiro, pelo fim da violência na Baixada Fluminense, pela minha cidade Nova Iguaçu, contra uma saúde ruim, contra um desenvolvimento horrível, voto sim, pelo Brasil, pelo Partido Republicano Brasileiro. Muito obrigada.",
Sergio Zveiter,PMDB,RJ,Sim,M,"Pela responsabilidade que tenho de votar hoje aqui, como advogado, duas vezes Presidente da OAB, e representando o Estado do Rio de Janeiro, eu estudei esse processo e posso afirmar, sem medo de errar, que o parecer do Relator está de acordo com a Constituição, com as leis que regulam o impeachment e com o Regimento Interno desta Casa. Por isso, eu voto sim ao prosseguimento do processo.",
Simão Sessim,PP,RJ,Sim,M,"Sr. Presidente, saudando as pessoas da Capital e das demais cidades do Estado do Rio de Janeiro que foram para as ruas apoiar esse movimento; para que haja paz, tranquilidade, no Brasil e crescimento da Nação brasileira; por aqueles que me deram dez mandatos consecutivos nesta Casa, fazendo história; pela minha família, pelos meus filhos, Sérgio e Marcelo, pelas minhas noras, pelos meus netos; pela minha querida Baixada Fluminense; pela minha querida cidade de Nilópolis, a velha Nilópolis; por tudo isso voto sim, pelo impeachment.",
Soraya Santos,PMDB,RJ,Sim,F,"Sr. Presidente, por acreditar que a política, a ética e a responsabilidade devem caminhar juntas; por andar por este Brasil afora e ver milhões de brasileiros nas ruas vestindo verde-amarelo, de forma pacífica, ordeira, mostrando que os seus filhos não fogem à luta — não precisam invadir casa de ninguém, não precisam quebrar ônibus nenhum —, pedindo união e pregando esperança por um Brasil melhor; por minha família, e neste momento eu me faço representar pelos meus netos, Arthur, Sofia e a mais nova, a caçula, que está chegando; eu quero dizer aos brasileiros, à minha cidade de Niterói e ao meu Estado do Rio de Janeiro que voto sim. Impeachment já!",
Sóstenes Cavalcante,DEM,RJ,Sim,M,"A negociata da velha política impediu um suplente do meu partido, o DEM, Marcelo Delaroli, de votar aqui hoje. Por você, Marcelo; pelos evangélicos do meu Estado; pelos movimentos sociais, Movimento Brasil Livre —MBL, Vem Pra Rua, Revoltados Online e todos os outros que ocuparam as ruas deste País; por um País mais altivo, livre da corrupção de todos; por Lula e Dilma na cadeia; voto sim ao impeachment, Sr. Presidente.",
Wadih Damous,PT,RJ,Não,M,"Sr. Presidente, em homenagem aos milhares de advogados e juristas deste País que apontaram que esse relatório é uma farsa, é um instrumento de golpe; em homenagem ao povo trabalhador que hoje está nas ruas resistindo contra o golpe; e dando razão a V.Exa. quando pediu a Deus que tenha misericórdia deste País, e tem que ter mesmo, porque V.Exa. é o chefe da corrupção neste País, presidindo um tribunal que vai julgar uma mulher honrada — não se iluda, Sr. Presidente, com esse seu sorrisinho, V.Exa. é a bola da vez no Supremo Tribunal Federal —; meu voto é não.",
Washington Reis,PMDB,RJ,Sim,M,"Sr. Presidente, que a partir de amanhã, segunda-feira, Deus possa derramar muitas bênçãos sobre o nosso Brasil e sobre o povo brasileiro. Sr. Presidente, voto a favor.",
Carlos Manato,SD,ES,Sim,M,"Sr. Presidente, em homenagem à minha querida Alegre, na Região do Caparaó, aos 3,5 milhões de capixabas em 78 Municípios, às mais de 50 mil pessoas do movimento Vem Pra Rua que estão na Praça do Papa, e para que nossa ex-Presidenta Dilma tenha férias eternas, eu digo sim, Sr. Presidente.",
Dr. Jorge Silva,PHS,ES,Sim,M,"Sr. Presidente, em respeito à Constituição, em respeito àgrande maioria da população da minha querida cidade de São Mateus, em respeito à grande maioria da população do norte do Estado do Espírito Santo, em respeito à grande maioria da população capixaba, e para que nosso País encontre novamente o rumo do desenvolvimento, eu voto sim, Sr. Presidente.",
Evair de Melo,PV,ES,Sim,M,"Sras. e Srs. Deputados, os capixabas nunca legitimaram este Governo. Este Governo, para aumentar a maldade, abandonou os capixabas, nossas rodovias, portos e aeroportos. Então, por tudo isso, Srs. Deputados, e pela minha família, em especial, pelo meu filho Arthur e pela minha filha Sarah, pela agricultura e pelos agricultores do meu Espírito Santo, pelo cooperativismo, pela indústria abandonada por este Governo, pela ciência e pela tecnologia, pela maioria esmagadora dos capixabas, Espírito Santo, o meu voto é sim!",
Givaldo Vieira,PT,ES,Não,M,"A coragem daqueles que resistiram ao Golpe de 1964, com dor, sangue e a própria vida,foi o que devolveu à minha geração a tão sonhada liberdade. Em homenagem a esses lutadores da democracia, eu me recuso a entregar o meu País nas mãos dos golpistas, nas mãos dos traidores, nas mãos dos corruptos que armaram esta farsa e aqui a comandam! Em homenagem aos milhões de lutadores que hoje lutam e não se cansarão de lutar pela democracia, por amor à Pátria, o meu voto é não!",
Helder Salomão,PT,ES,Não,M,"Não posso concordar que o Deputado Eduardo Cunha presida esta sessão. Isso é um absurdo! Ele não tem moral política nem ética para estar aqui. Mas, no dia em que tomei posse, eu fiz um juramento. Jurei defender e respeitar a Constituição. Jurei defender a democracia. Por isso o meu voto é não ao golpe!",
Lelo Coimbra,PMDB,ES,Sim,M,"Presidente, em homenagem e em resposta aos milhares de brasileiros que, pelas ruas do País, do meu Estado do Espírito Santo, das cidades do meu Estado, em especial a minha querida Vitória, que nos cobram, nos exigem e nos chamam para responder afirmativamente contra a corrupção, que nos chamam para responder afirmativamente pelo restauro da economia e que nos chamam para responsabilizar aquela que, ao longo desses anos, inviabilizou a economia, nós precisamos responsabilizar a Presidente neste momento, com o ato que aqui estamos praticando. E esse ato tem uma resposta. A resposta é sim.",
Marcus Vicente,PP,ES,Sim,M,"Sr. Presidente, em respeito às famílias brasileiras, em respeito ao meu querido Espírito Santo, em respeito à minha cidade natal, Ibiraçu, pelos meus amigos e por toda a minha família, eu voto sim ao impeachment.",
Max Filho,PSDB,ES,Sim,M,"Sr. Presidente, Srs. Deputados, em homenagem aos princípios da Constituição Federal, da legalidade, da impessoalidade e, sobretudo, da moralidade, da publicidade e da eficiência, meu voto é sim.",
Paulo Foletto,PSB,ES,Sim,M,"Sr. Presidente, em nome da minha querida cidade de Colatina, de todos os filhos do solo capixaba, do noroeste capixaba, de todo o Espírito Santo; em nome da Nação brasileira; em nome dos meus filhos Sara, Estevão, Giordano e Donato; em nome do meu sobrinho, de toda a minha família e de todos os jovens deste País; em nome de todos esses e em nome do Brasil, com a esperança de que nós possamos construir, com o novo Governo, um diálogo com a política, com a economia e recuperar esta Nação, eu voto sim.",
Sergio Vidigal,PDT,ES,Sim,M,"Pelo Estado do Espírito Santo, que me deu a oportunidade de ser o mais votado do Estado, com mais de 161 mil votos, especialmente o Município da Serra, eu quero aqui dizer ao meu partido, o PDT, que fechou questão contra o impeachment, que estou aqui no papel de julgador. Cabe ao julgador ser imparcial. Pela liberdade inviolável da consciência, pela democracia e contra a corrupção, quero dizer que, em nome da população capixaba, e peço desculpa ao PDT, vou ficar com o Estado do Espírito Santo. Voto sim.",
Assis Carvalho,PT,PI,Não,M,"Em defesa da minha Nação, do Nordeste, do Piauí, da minha cidade de Oeiras, mas, principalmente, pelo combate à corrupção representada por Eduardo Cunha e Michel Temer, eu digo não a esta corrupção ridícula que envergonha o meu País. Logo, logo, Eduardo Cunha, V.Exa. estará pagando por isto, detrás das grades, pelo mal que faz ao Brasil e ao mundo.",
Átila Lira,PSB,PI,Sim,M,"Sr. Presidente, Sras. e Srs. Parlamentares, este éum momento, creio, difícil para todos nós. A minha decisão é pela renovação de esperanças para o nosso País, para todos nós. Pelo meu Estado do Piauí, pelo meu País, não vamos desistir do Brasil, voto sim.",
Capitão Fábio Abreu,PTB,PI,Não,M,"De acordo com as minhas convicções, em defesa das leis deste País, eu voto não.",
Heráclito Fortes,PSB,PI,Sim,M,"Sr. Presidente, quero deixar aqui o meu abraço à minha mulher Mariana; às minhas filhas Marianinha, Heloísa e Camila; aos meus netos Antônio e João; à minha neta que está por vir, Olímpia; à minha irmã Zélia; e à minha Tia Elzamir, com 96 anos. Esse pessoal sabe o que eu sofri nas mãos do PT de 2010 até agora.O voto que eu vou dar não é um voto de rancor, é o voto da lógica, é o voto do futuro do Brasil. O voto que eu vou dar é o voto que o Brasil está exigindo, é o voto em nome das ruas. Portanto, ele é sim.",
Iracema Portella,PP,PI,Sim,F,"Exclusivamente por orientação partidária, mas com um sentimento de tristeza, o meu voto é sim.",
Júlio Cesar,PSD,PI,Sim,M,"Sr. Presidente, Sras. e Srs. Deputados, contra o desajuste das contas públicas, contra o aumento da inflação, contra o desemprego e a favor dos 10 milhões de desempregados do nosso País, em defesa dos 5.570 Municípios e para restabelecer a esperança do povo do Piauí e do povo brasileiro, eu voto sim, Sr. Presidente.",
Marcelo Castro,PMDB,PI,Não,M,"ras. e Srs. Deputados, isso aqui hoje não é uma eleição indireta, é um processo de impeachment de um Presidente da República num País presidencialista. Para isso, pressupõe-se que haja um crime de responsabilidade. A Presidenta Dilma não matou, não roubou, não tem contas no exterior, não descumpriu nenhuma lei do País. Ela é uma pessoa digna, honesta e honrada. Não há crime de responsabilidade, não hácrime nenhum. Todo esse processo é artificial, é forjado, é falso. Por isso, eu voto contra.",
Paes Landim,PTB,PI,Não,M,"Sr. Presidente, desculpe-me a grande maioria, mas os meus limitados conhecimentos jurídicos não me convenceram da existência de crime de responsabilidade por parte da Sra. Presidente, razão por que eu voto não.",
Rejane Dias,PT,PI,Não,F,"Sr. Presidente, demais Deputados e Deputadas aqui presentes, em primeiro lugar, eu oro para que Deus abençoe a nossa querida Nação, o Brasil. Em segundo lugar, pelo desenvolvimento do meu querido Estado do Piauí, pela democracia, pelo Estado Democrático de Direito e em respeito aos milhares e milhares de brasileiros e brasileiras que votaram em Dilma, elegendo-a a primeira Presidenta mulher, eu voto não!",
Rodrigo Martins,PSB,PI,Sim,M,"Pelo meu Estado do Piauí; pelo futuro do povo do Brasil, em especial, dos piauienses e da cidade de Teresina; em respeito a todos os homens e mulheres de bem que estão lutando, estão nas ruas por um Brasil melhor; pelo futuro das minhas filhas Maria Luísa e Ana Maria; eu voto sim ao impeachment.",
Antônio Jácome,PTN,RN,Sim,M,"Sr. Presidente, nunca foi tão atual a palavra bíblica que diz: E se o meu povo, que se chama pelo meu nome, se humilhar, e orar, e buscar a minha face e se converter dos seus maus caminhos, então eu ouvirei dos céus, e perdoarei os seus pecados, e sararei a sua terra. Por uma nova ordem política, pelo fim da corrupção, pelos meus irmãos brasileiros, pelos meus irmãos norte-rio-grandenses, em homenagem à memória do meu pai e da minha saudosa irmã Ozanide, o meu voto é sim.",
Beto Rosado,PP,RN,Sim,M,"Agradeço a todo o Partido Progressista, que entendeu o sentimento das ruas e de toda a sua bancada e votou majoritariamente, fez questão de fechar o voto em favor do impeachment. Quero dizer que nós agora temos a oportunidade de sonhar, a oportunidade de ter esperança em um futuro melhor. Quero saudar minha cidade, Mossoró; todo o povo potiguar; minha família; meu pai, Betinho Rosado, que foi Parlamentar por cinco mandatos aqui nesta Casa. O meu voto é sim.",
Fábio Faria,PSD,RN,Sim,M,"Pela união do Brasil, com fé nas nossas instituições,e pela retomada do crescimento, eu voto sim, Sr. Presidente.",
Felipe Maia,DEM,RN,Sim,M,"Sr. Presidente, pelo respeito à Constituição Federal, pelo respeito às outras leis do ordenamento jurídico do nosso País que regulamentam ocrime de responsabilidade civil, pelo povo do Brasil, pelo povo do Rio Grande do Norte, por todos aqueles que ocupam as ruas do nosso Brasil, para pedir mudanças para este País, pelas famílias que estão desempregadas — já se somam 10 milhões de famílias — e para que o Brasil possa, Sr. Presidente, ter uma luz no fim do túnel, eu voto sim ao impeachment da Presidente Dilma.",
Rafael Motta,PSB,RN,Sim,M,"Sr. Presidente, caros colegas, Deputadas e Deputados, a frustração de uma nação é o maior peso que um Parlamentar pode levar na sua consciência. Pelos jovens do Brasil, pelas futuras gerações, pelo Estado do Rio Grande do Norte, por Natal e pelo meu País, eu voto sim.",
Rogério Marinho,PSDB,RN,Sim,M,"Pela coerência com os meus eleitores e respeito à minha família, aos meus pais, que me deixaram um legado, e aos meus filhos, a quem eu quero transmitir o legado de respeito ao meu País, contra um partido que aparelhou o nosso País, que se utiliza da política externa nacional para financiar ditaduras bolivarianas sanguinárias com recursos do País, contra aqueles que se utilizam da educação para doutrinar e assediar as nossas crianças, por melhores dias para o nosso País,livre dessa quadrilha que se entranhou em nosso seio, com todo o coração voto sim. Fora, Dilma!",
Walter Alves,PMDB,RN,Sim,M,"Sr. Presidente, na esperança de dias melhores, em nome do povo do meu Estadodo Rio Grande do Norte, que me concedeu 191 mil votos, em nome do povo do Brasil, eu voto sim.",
Zenaide Maia,PR,RN,Não,F,"Sr. Presidente, pela democracia, pelos avanços sociais, pelas famílias brasileiras e por saber que o Deputado Eduardo Cunha e Michel Temer não são solução para o nosso País, eu voto não.",
Adelmo Carneiro Leão,PT,MG,Não,M,"Votar em impeachment só é possível com crime de responsabilidade. Não havendo crime de responsabilidade, é golpe. E golpe, nós não podemos votar por ele. Eu sou contra o golpe, contra o impeachment, em favor da democracia.",
Aelton Freitas,PR,MG,Não,M,"Sr. Presidente, Srs. Deputados, eu quero terminar a justificativa da ausência da Deputada Clarissa Garotinho, que, por não ter tido autorização médica, não pôde vir do Rio até aqui. Justifico a ausência da Deputada. Sr. Presidente, todos são considerados inocentes até que alguém apresente uma prova de crime. A Presidente Dilma é uma mulher honesta. Eu voto não.",
Bilac Pinto,PR,MG,Sim,M,"Sras. e Srs. Deputados, o meu voto épelo Brasil, pelos mineiros e, acima de tudo, pelo reencontro da esperança deste País. Eu voto sim, pelo afastamento da Sra. Presidente da República.",
Bonifácio de Andrada,PSDB,MG,Sim,M,"Sr. Presidente, pela democracia, pelo Brasil, por Minas Gerais, em busca de melhores dias, votamos sim.",
Brunny,PR,MG,Não,F,"Sr. Presidente, votar sim pelo impeachment é muito mais fácil. Mas eu nunca corri atrás de alguma coisa que fosse fácil na minha vida. Por isso eu voto contra. Eu sou PR e não sou covarde.",
Caio Narcio,PSDB,MG,Sim,M,"Por um Brasil onde meu pai e meu avô diziam que decência e honestidade não eram possibilidade, eram obrigação; por um Brasil onde os brasileiros tenham decência e honestidade (pausa); por Minas, pelo Brasil, pelos jovens que estão lá fora, sim! Brasil, verás que um filho teu não foge à luta!",
Carlos Melles,DEM,MG,Sim,M,"Sr. Presidente, Sras. e Srs. Deputados, eu voto aqui hoje a favor das nossas crianças, da nossa juventude, das nossas famílias, da minha Paraíso, do meu sul de Minas. Voto a favor do agricultor e do café, voto a favor dos mineiros e do Brasil. Mas voto também a favor da Constituição. Voto sim ao impeachment da Presidente Dilma Rousseff!",
Dâmina Pereira,PSL,MG,Sim,F,"Pelo futuro dos meus netos, pela minha cidade Lavras, pelo meu querido povo mineiro e pela retomada do crescimento do Brasil, meu voto é sim.",
Delegado Edson Moreira,PSL,MG,Sim,M,"Sr. Presidente, o Brasil espera que cada um cumpra o seu dever — Almirante Barroso. Pela libertação do povo brasileiro, pela minha família, pelo saudoso Celso Daniel e por Minas Gerais, São Paulo e todo o Brasil, eu voto sim, Sr. Presidente!",
Diego Andrade,PSD,MG,Sim,M,"Por Minas Gerais; pelos meus filhos, Isabel e Léo, que me acompanham de Belo Horizonte; pelos transportadores; pelos agricultores; por minha querida Três Pontas; pelo meu avô, exemplo de trabalho em Juatuba; por toda Minas Gerais; pelo homem do campo; pelo transportador; pelos profissionais da saúde; o meu voto é sim ao impeachment!",
Dimas Fabiano,PP,MG,Sim,M,"Hoje é o dia certo de fazer a coisa certa da maneira certa. Pela minha esposa, Juliana, pelos meus filhos, Leonardo e Lucas, por Varginha, por Bocaina de Minas, por Itajubá, pelo Brasil e por Minas Gerais, meu voto é sim!",
Domingos Sávio,PSDB,MG,Sim,M,"Pelos valores da família; pelos homens livres e de bons costumes; em respeito ao meu povo, de Divinópolis e de toda Minas Gerais; em respeito ao povo brasileiro, que não suporta mais este desgoverno de tanta corrupção; em respeito à Constituição, não vai haver golpe! Vai haver impeachment! Meu voto é sim, a favor do Brasil!",
Eduardo Barbosa,PSDB,MG,Sim,M,"Sr. Presidente, ao longo desses meus 6 mandatos, tenho presenciado aqui uma incoerência de um discurso humanista com uma prática inconsequente, rasteira e mentirosa. Por isso tudo e também pelo crime de responsabilidade cometido, pela honra do nosso povo mineiro e de todos aqueles que eu represento, meu voto é sim!",
Eros Biondini,PROS,MG,Sim,M,"Sr. Presidente, pelos valores que herdei dos meus pais, e que procuro repassar aos meus filhos; pela gratidão que tenho à Renovação Carismática Católica, à Canção Nova e aos demais movimentos que me ajudaram a me livrar das drogas; pelos milhões de brasileiros que vivem hoje nas drogas e não têm ajuda; para honrar os belorizontinos, os mineiros, os brasileiros nesta Terra de Santa Cruz, o meu voto é sim. E o voto do meu suplente, Euclides, também seria sim, Sr. Presidente.",
Fábio Ramalho,PMDB,MG,Sim,M,"Eu pedi a Deus que me desse sabedoria para votar com dignidade. Eu pedi a Deus que me iluminasse. E, neste momento, em nome de um Estado cujo outro nome éliberdade, Minas Gerais; em nome de milhares de mineiros que me pediram para votar a favor do impeachment; eu estou aqui para declarar o meu voto, em gratidão ao povo mineiro, à família mineira e, sobretudo, aos milhões de desempregados deste País. Eu voto sim por Minas Gerais e pelo Brasil!",
Franklin Lima,PP,MG,Sim,M,"Srs. Deputados, Sr. Presidente, povo brasileiro, em primeiro lugar, eu quero agradecer a Deus a oportunidade de ser eleito por um Estado tão amável, tão maravilhoso como Minas Gerais. Neste Estado, nasceu uma pessoa que admiro muito, que é o apóstolo Valdemiro Santiago, e aquela Igreja maravilhosa me ajudou neste trabalho. Quero agradecer também à minha esposa, à minha filha, que vêm me dando muita força; à minha mãe; à minha tia Eurides, que cuidou de mim quando pequeno; à minha tia Geo, que me ensinou a educação. Eu quero agradecer ao povo brasileiro e dizer, neste instante, contra a corrupção, contra a roubalheira, contra a safadeza, eu sempre lutei por novas eleições. Neste momento, para que o brasileiro tenha uma nova esperança de dias melhores, de prosperidade, eu voto sim.",
Gabriel Guimarães,PT,MG,Não,M,"Com a certeza de que a Presidenta Dilma não cometeu nenhum dos crimes pelos quais foi denunciada, o que será confirmado adiante, voto não, pelo não prosseguimento da denúncia pela qual responde.",
